component,component_short,molecular_mass,omega,temperature_critical,pressure_critical,density_critical,temperature_normal_boiling,rg,dm,solubility_parameter,vanderWals_volume,epsilon,enthalpy_of_formation_ideal_gas,entropy_of_formation_ideal_gas,saturation_pressure_constant_A,saturation_pressure_constant_B,saturation_pressure_constant_C,saturation_pressure_constant_D,saturation_pressure_constant_E,heat_of_vaporisation_constant_A,heat_of_vaporisation_constant_B,heat_of_vaporisation_constant_C,heat_of_vaporisation_constant_D,heat_capacity_ideal_gas_constant_A,heat_capacity_ideal_gas_constant_B,heat_capacity_ideal_gas_constant_C,heat_capacity_ideal_gas_constant_D,heat_capacity_ideal_gas_constant_E,molar_density_constant_A,molar_density_constant_B,molar_density_constant_C,molar_density_constant_D,surface_tension_constant_A,surface_tension_constant_B,surface_tension_constant_C,surface_tension_constant_D
unit,1,g/mol,1,K,atm,m3/kmol,K,Aa,Debye,Mpa^0.5,m3/kmol,1,kJ/kmol,kJ/kmol/K,Pa,Pa,Pa,Pa,Pa,J/kmol,J/kmol,J/kmol,J/kmol,J/kmol/K,J/kmol/K,J/kmol/K,J/kmol/K,J/kmol/K,kmol/m3,kmol/m3,kmol/m3,kmol/m3,kg/s^2,kg/s^2,kg/s^2,kg/s^2
Propylene,P,42.081,0.1398,365.57,46.04,0.1884,225.46,2.254,0.3657,13.1524,0.03408,1,19710,266.6,57.263,-3382.4,-5.7707,1.04E-05,2,28694000,0.8375,-0.9216,0.5012,43390,152000,1425,78600,623.9,1.4094,0.26465,365.57,0.295,0.053595,1.213,0,0
Propane,nP,44.096,0.1523,369.83,41.924,0.2,231.11,2.431,0,13.1,0.03757,1,-104680,270.2,59.078,-3492.6,-6.0669,1.09E-05,2,29209000,0.78237,-0.77319,0.39246,51920,192450,1626.5,116800,723.6,1.3757,0.27453,369.83,0.29359,0.05092,1.2197,0,0
Formaldehyde,F,30.026,0.2818,408,65.038,0.115,254.05,1.215,2.3291,23.8248,0.0186,1,-108600,218.66,101.51,-4917.2,-13.765,0.022031,1,30760000,0.2954,0,0,33270,49542,1866.6,28075,934.9,1.9415,0.22309,408,0.28571,0.15561,1.3242,0,0
Ethylene oxide,EO,44.053,0.1974,469.15,70.96,0.1403,283.6,1.937,1.8885,21.718,0.02416,1,-52630,242.99,91.944,-5293.4,-11.682,0.014902,1,36652000,0.37878,0,0,33460,121160,1608.4,82410,737.3,1.836,0.26024,469.15,0.2696,0.07473,1.141,0,0
Acetaldehyde,AA,44.053,0.2907,466,54.774,0.154,294,2.083,2.6888,19.9094,0.02881,1,-166200,264.2,193.69,-8036.7,-29.502,0.043678,1,46070000,0.62,0,0,44510,106870,1614.1,61350,737.8,1.6994,0.26167,466,0.2913,0.072686,1.227,0,0
Isopentane,IP,72.15,0.2275,460.43,33.368,0.3058,300.994,3.324,0.1301,13.8578,0.05802,1,-153700,343.74,72.35,-5010.9,-7.883,8.98E-06,2,37700000,0.3952,0,0,74600,326500,1545,192300,666.7,0.9079,0.2761,460.43,0.28673,0.050926,1.2078,0,0
Pentane,C5,72.15,0.2515,469.7,33.259,0.313,309.22,3.337,0,14.4,0.05803,1,-146760,349.45,78.741,-5420.3,-8.8253,9.62E-06,2,39109000,0.38681,0,0,88050,301100,1650.2,189200,747.6,0.84947,0.26726,469.7,0.27789,0.05202,1.2041,0,0
1-Propanal,PA,58.08,0.2559,504.4,48.557,0.204,321.15,2.643,2.521,19.3166,0.03904,1,-186300,304.4,80.581,-5896.1,-8.9301,8.22E-06,2,41492000,0.36751,0,0,71740,191400,2014.4,117080,930.6,1.296,0.26439,504.4,0.29471,0.068082,1.2655,0,0
Ethyl Formate,EF,74.079,0.2847,508.4,46.78,0.229,327.46,2.963,1.9305,19.0695,0.04274,1,-388300,328.2,73.833,-5817,-7.81E+00,6.32E-06,2,45909000,0.4123,0,0,53700,188600,1207,86400,496,1.1343,0.26168,508.4,0.2791,0.06095,1.0996,0,0
Acetone,A,58.08,0.3065,508.2,46.395,0.209,329.44,2.746,2.8807,19.7297,0.03904,1,-215700,295.4,69.006,-5599.6,-7.0985,6.22E-06,2,42150000,0.3397,0,0,57040,163200,1607,96800,731.5,1.2332,0.25886,508.2,0.2913,0.0622,1.124,0,0
Chloroform,CF,119.377,0.2219,536.4,54.004,0.239,334.33,3.249,1.0102,18.92,0.0435,1,-102900,295.6,146.43,-7792.3,-20.614,2.46E-02,1.00E+00,41860000,0.3584,0,0.00E+00,39420,65730,928,49300,399.6,1.0841,0.2581,536.4,0.2741,0.069284,1.1761,0,0
Methanol,M,32.042,0.564,512.64,79.911,0.118,337.85,1.552,1.6996,29.5906,0.02171,1,-200940,239.88,81.768,-6876,-8.7078,7.19E-06,2,52390000,0.3682,0,0.00E+00,39252,87900,1916.5,5.37E+04,896.7,2.288,0.2685,512.64,0.2453,0.03513,-7.04E-06,-1.22E-07,0
Vinyl acetate,VA,86.09,0.3513,519.13,39.062,0.27,345.65,2.969,1.7896,18.5849,0.04928,1,-314900,328,5.74E+01,-5.70E+03,-5.03E+00,1.10E-17,6.00E+00,4.77E+07,3.77E-01,0.00E+00,0.00E+00,5.36E+04,2.12E+05,1.20E+03,1.15E+05,5.10E+02,9.59E-01,2.59E-01,5.19E+02,2.74E-01,6.49E-02,1.22E+00,0.00E+00,0.00E+00
1-Butanal,BA,72.107,0.2774,537.2,42.635,0.258,347.95,3.08,2.7188,18.6632,0.04927,1,-207000,343.65,99.33,-7083.6,-1.17E+01,1.00E-05,2,46403000,0.3849,0,0,89657,237310,1975.4,158660,904.13,1.0361,0.26731,537.2,0.28397,0.067432,1.228,0,0
Ethyl Acetate,EA,88.106,0.3664,523.3,38.293,0.286,350.21,3.468,1.7806,18.3456,0.05277,1,-444500,359.7,66.824,-6227.6,-6.41E+00,1.79E-17,6,49330000,0.3847,0,0,99810,209310,2022.6,180300,928.05,0.8996,0.25856,523.3,0.278,0.05987,1.122,0,0
Ethanol,E,46.069,0.6452,513.92,60.676,0.167,351.44,2.259,1.6906,26.1333,0.03194,1,-234950,280.64,74.475,-7164.3,-7.327,3.13E-06,2,56900000,0.3359,0,0,49200,145770,1662.8,93900,744.7,1.648,0.27627,513.92,0.2331,0.03764,-2.16E-05,-1.03E-07,0
Benzene,BZ,78.114,0.21,562.16,48.339,0.259,353.24,3.004,0,18.7296,0.0484,1,82880,269.3,83.918,-6517.7,-9.3453,7.12E-06,2,47500000,0.45238,0.0534,-0.1181,44420,232050,1494.6,172130,-678.15,1.0162,0.2655,562.16,0.28212,0.07195,1.2389,0,0
Cyclohexane,CH,84.161,0.2096,553.58,40.197,0.308,353.87,3.242,0.6085,16.7573,0.0614,1,-123300,297.28,1.17E+02,-7103.3,-15.49,0.016959,1,4.49E+07,0.3974,0,0,43200,373500,1192,163500,-530.1,0.8908,0.27396,553.58,0.2851,0.065605,1.2663,0,0
Acetonitrile,AN,41.053,0.3379,545.5,47.668,0.173,354.75,1.841,3.9269,24.0497,0.02837,1,74040,243.29,58.302,-5385.6,-5.4954,5.36E-06,2,43511000,0.34765,0,0,41914,88760,1581.8,50320,699.8,1.3064,0.22597,545.5,0.28678,0.068249,1.097,0,0
Isopropanol,IPA,60.096,0.6677,508.3,46.997,0.22,355.41,2.807,1.6607,23.4083,0.04216,1,-272700,309.2,76.964,-7623.8,-7.4924,5.94E-18,6,63080000,0.3921,0,0,57230,191000,1421,121550,626,1.24,0.27342,508.3,0.2353,0.03818,-3.82E-05,-6.51E-08,0
1-Propanol,1PA,60.096,0.6218,536.78,51.073,0.219,370.35,2.736,1.6787,24.4518,0.04217,1,-255200,322.47,88.134,-8498.6,-9.08E+00,8.33E-18,6,63300000,0.3575,0,0,61900,202130,1629.3,129560,727.4,1.235,0.27136,536.78,0.24,0.04533,-6.88E-05,-1.60E-08,0
2-Butanol,2BA,74.123,0.5722,536.05,41.244,0.269,372.7,3.203,1.6607,22.5414,0.05239,1,-292900,364.69,152.54,-11111,-19.025,1.04E-05,2.00E+00,72560000,0.4774,0,0,82020,252200,1601,158640,-704.15,0.966,0.26064,536.05,0.2746,0.04645,-7.47E-05,-1.30E-08,0.00E+00
Water,W,18.015,0.3449,647.13,217.666,0.0559,373.15,0.615,1.8495,47.8127,0.01237,1,-241810,188.72,73.649,-7258.2,-7.3037,4.17E-06,2,52053000,0.3199,-0.212,0.25795,33363,26790,2610.5,8896,1169,5.459,0.30542,647.13,0.081,0.18548,2.717,-3.55E+00,2.05E+00
Crotonaldehyde,CA,70.091,0.3382,569,41.944,0.25,375.37,3.087,3.6571,21.0078,0.04575,1,-100600,317.3,61.144,-6.35E+03,-5.52E+00,8.86E-18,6,51261000,0.36832,0,0,67452,180750,1487.8,110750,657.08,1.0167,0.25419,569,0.2884,6.60E-02,1.28E+00,0,0
Diethyl Acetal,DA,118.176,0.4473,541,29.41,0.402,377.35,4.329,1.0791,15.8142,0.07565,1,-453500,454,136.12,-8326.2,-1.86E+01,2.08E-02,1.00E+00,50201000,0.33274,0,0,130010,271420,830.09,157280,2823.1,0.6805,0.27355,541,0.29,5.59E-02,1.23E+00,0,0
2-Methyl-1-propanol,M2P1,74.123,0.5848,547.78,42.438,0.273,380.81,3.332,1.6397,22.9094,0.05239,1,-283200,348,187.79,-1.30E+04,-2.43E+01,1.43E-05,2,76190000,0.5047,0,0,87940,241600,1718,165400,798.7,0.9968,0.27226,547.78,0.2389,4.75E-02,-8.67E-05,1.02E-08,0
Toluene,T,92.141,0.2621,591.8,40.523,0.316,383.78,3.472,0.3597,18.3242,0.05951,1,50170,320.99,80.877,-6902.4,-8.7761,5.80E-06,2,50144000,0.3859,0,0,58140,286300,1440.6,189800,-650.43,0.8488,0.26655,591.8,0.2878,0.06685,1.2457,0.00E+00,0.00E+00
1-Butanol,B1,74.123,0.5935,563.05,43.652,0.275,390.81,3.225,1.6607,23.3536,0.0524,1,-274600,361.48,9.32E+01,-9.19E+03,-9.75E+00,4.78E-18,6,67390000,0.173,0.2915,0,74540,259070,1607.3,173200,712.4,0.965,0.2666,563.05,0.24419,4.98E-02,-8.54E-05,0,0
Acetic Acid,MCA,60.053,0.4665,591.95,57.103,0.1797,391.05,2.61,1.7386,19.0078,0.0333,1,-432800,282.5,53.27,-6304.5,-4.2985,8.89E-18,6,20265000,0.11911,-1.3487,1.4227,40200,136750,1262,70030,569.7,1.4486,0.25892,591.95,0.2529,0.057502,1.0769,0,0
2-Methyl-1-butanol,M2B1,88.15,0.6784,565,38.293,0.327,401.85,3.612,0,22.1107,0.06262,1,-302090,393.5,4.10E+02,-2.03E+04,-6.24E+01,0.063353,1,77839000,0.45313,0,0,108900,218500,853,140000,2906,0.82046,0.26829,565,0.2322,5.45E-02,1.0358,0,0
3-Methyl-1-butanol,M3B1,88.15,0.589,577.2,38.786,0.327,404.35,3.684,1.7986,22.1574,0.06262,1,-302100,387.7,1.07E+02,-1.02E+04,-11.695,6.80E-18,6,80815000,0.50185,0,0,110600,221000,876,122000,2940,0.837,0.27375,577.2,0.22951,0.050185,1.0234,0,0
Ethylbenzene,EBZ,106.167,0.3026,617.2,35.588,0.374,409.35,3.897,0.5995,17.9848,0.06974,1,29920,360.63,88.09,-7688.3,-9.7708,5.88E-06,2,54640000,0.392,0,0,78440,339900,1559,242600,-702,0.6952,0.26037,617.2,0.2844,0.066,1.268,0,0
p-Xylene,pX,106.167,0.3215,616.23,34.651,0.379,411.51,3.831,0,17.9031,0.07066,1,18030,352.23,8.55E+01,-7.60E+03,-9.378,5.69E-06,2,53740000,0.3656,0,0,75120,339700,1492.8,224700,-675.1,0.6816,0.25963,616.23,0.2768,0.06485,1.274,0,0
m-Xylene,mX,106.167,0.3259,617.05,34.898,0.376,412.27,3.937,0.2998,18.0535,0.07066,1,17320,358.54,84.782,-7.60E+03,-9.26E+00,5.54E-06,2,54600000,0.3726,0,0,75680,339240,1496,224700,-675.9,0.69555,0.26204,617.05,0.27602,0.0657,1.278,0,0
Acetic anhydride,EAH,102.09,0.4535,606,39.477,0.29,412.7,3.579,2.7878,22.0125,0.0544,1,-572500,389.9,1.01E+02,-8873.2,-1.15E+01,6.13E-06,2.00E+00,63520000,0.3986,0,0,71300,222200,1620.3,167600,746.5,0.86852,0.25187,606,0.31172,0.0843,1.432,0,0
o-Xylene,oX,106.167,0.3104,630.33,36.852,0.369,417.58,3.836,0.6295,18.3923,0.07066,1,19080,353.83,9.04E+01,-7948.7,-1.01E+01,5.98E-06,2,55330000,0.377,0,0,85210,329540,1494.4,211500,-675.8,0.69883,0.26113,630.33,0.27429,0.0661,1.254,0,0
Cumene,C,120.194,0.3258,631.1,31.67,0.427,425.56,4.322,0.3897,17.4362,0.07996,1,4000,386,1.44E+02,-9687.7,-1.93E+01,1.77E-02,1.00E+00,57950000,0.3956,0,0,108100,379320,1750.5,300270,794.8,0.604,0.25912,631.1,0.2914,0.0639,1.31E+00,0.00E+00,0
