component,1,2,3,5,6,10,11,12,13,14,15,16,17,18,19,21,22,24,26,37,41,43,51
Propylene,1,,,1,,,,,,,,,,,,,,,,,,,
Propane,2,1,,,,,,,,,,,,,,,,,,,,,
Formaldehyde,,,,,,,,,,,,,,,,,,,1,,,,
Ethylene oxide,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Acetaldehyde,1,,,,,,,,,,,,,,,1,,,,,,,
Isopentane,3,1,1,,,,,,,,,,,,,,,,,,,,
Pentane,2,3,,,,,,,,,,,,,,,,,,,,,
1-Propanal,1,1,,,,,,,,,,,,,,1,,,,,,,
Ethyl Formate,1,1,,,,,,,,,,,,,,,,1,,,,,
Acetone,1,,,,,,,,,,,,,,1,,,,,,,,
Chloroform,,,,,,,,,,,,,,,,,,,,,,,1
Methanol,,,,,,,,,,,,1,,,,,,,,,,,
Vinyl acetate,,,,1,,,,,,,,,,,,,1,,,,,,
1-Butanal,1,2,,,,,,,,,,,,,,1,,,,,,,
Ethyl Acetate,1,1,,,,,,,,,,,,,,,1,,,,,,
Ethanol,1,1,,,,,,,,,1,,,,,,,,,,,,
Benzene,,,,,,6,,,,,,,,,,,,,,,,,
Cyclohexane,,6,,,,,,,,,,,,,,,,,,,,,
Acetonitrile,,,,,,,,,,,,,,,,,,,,,1,,
Isopropanol,2,,1,,,,,,,,1,,,,,,,,,,,,
1-Propanol,1,2,,,,,,,,,1,,,,,,,,,,,,
2-Butanol,2,1,1,,,,,,,,1,,,,,,,,,,,,
Water,,,,,,,,,,,,,1,,,,,,,,,,
Crotonaldehyde,1,,,,1,,,,,,,,,,,1,,,,,,,
Diethyl Acetal,3,,1,,,,,,,,,,,,,,,,2,,,,
2-Methyl-1-propanol,2,1,1,,,,,,,,1,,,,,,,,,,,,
Toluene,,,,,,5,,1,,,,,,,,,,,,,,,
1-Butanol,1,3,,,,,,,,,1,,,,,,,,,,,,
Acetic Acid,1,,,,,,,,,,,,,,,,,,,,,1,
2-Methyl-1-butanol,2,2,1,,,,,,,,1,,,,,,,,,,,,
3-Methyl-1-butanol,2,2,1,,,,,,,,1,,,,,,,,,,,,
Ethylbenzene,1,,,,,5,,,1,,,,,,,,,,,,,,
p-Xylene,,,,,,4,,2,,,,,,,,,,,,,,,
m-Xylene,,,,,,4,,2,,,,,,,,,,,,,,,
Acetic anhydride,,,,,,,,,,,,,,,1,,1,,,,,,
o-Xylene,,,,,,4,,2,,,,,,,,,,,,,,,
Cumene,2,,,,,5,,,,1,,,,,,,,,,,,,
n-Propylbenzene,1,1,,,,5,,,1,,,,,,,,,,,,,,
m-Ethyltoluene,1,,,,,4,,1,1,,,,,,,,,,,,,,
"1,2,3-Trimethylbenzene",,,,,,3,,3,,,,,,,,,,,,,,,
Benzaldehyde,,,,,,5,1,,,,,,,,,1,,,,,,,
Phenol,,,,,,5,,,,,,,,1,,,,,,,,,
Anilin,,,,,,5,,,,,,,,,,,,,,1,,,
Ethylene glycol,,2,,,,,,,,,2,,,,,,,,,,,,
Acetophenone,,,,,,5,1,,,,,,,,1,,,,,,,,
